"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 18:38:28 GMT 2022","Sun Jul 03 18:38:33 GMT 2022","4721","","PortfolioPageTest","","PortfolioPageTest","paginationTest","TC11 Pagination test","TC11 - Count all of portfolios on Portfolio page with pagination"
"passed","Sun Jul 03 18:38:45 GMT 2022","Sun Jul 03 18:38:52 GMT 2022","6915","","ContactPageTest","","ContactPageTest","sendContactWithWrongEmail","TC10 Contact message wrong email address","TC10 - Contact message full information, wrong email address"
"passed","Sun Jul 03 18:38:13 GMT 2022","Sun Jul 03 18:38:18 GMT 2022","4595","","AboutPageTest","","AboutPageTest","countTitles","TC14 Count the titles","TC14 - Get the number of name card titles on page"
"passed","Sun Jul 03 18:38:04 GMT 2022","Sun Jul 03 18:38:09 GMT 2022","4631","","LandingPageTest","","LandingPageTest","logoutTest","TC8 Logout","TC8 - Logout with logout button"
"passed","Sun Jul 03 18:39:43 GMT 2022","Sun Jul 03 18:39:50 GMT 2022","6451","","RegisterLoginPageTest","","RegisterLoginPageTest","validLogin","TC5 Valid login","TC5 - Login with valid username, password and email"
"passed","Sun Jul 03 18:39:55 GMT 2022","Sun Jul 03 18:39:56 GMT 2022","582","","RegisterLoginPageTest","","RegisterLoginPageTest","acceptPrivacyTerms","TC1 Accept Terms and conditions","TC1 - Click accept button on Terms and conditions window"
"passed","Sun Jul 03 18:38:33 GMT 2022","Sun Jul 03 18:38:38 GMT 2022","4540","","PortfolioPageTest","","PortfolioPageTest","contentValidation","TC12 Portfolio content validation","TC12 - Validate the content of Osen Clock page"
"passed","Sun Jul 03 18:38:52 GMT 2022","Sun Jul 03 18:39:42 GMT 2022","50929","","RegisterLoginPageTest","","RegisterLoginPageTest","registerFromFile","TC6 Register from data file","TC6 - Register from data file"
"passed","Sun Jul 03 18:38:24 GMT 2022","Sun Jul 03 18:38:28 GMT 2022","4801","","ProfilePageTest","","ProfilePageTest","saveProfile","TC15 Save profile","TC15 - Save profile"
"passed","Sun Jul 03 18:39:42 GMT 2022","Sun Jul 03 18:39:43 GMT 2022","622","","RegisterLoginPageTest","","RegisterLoginPageTest","closePrivacyTerms","TC2 Close Terms and conditions","TC2 - Close Terms and conditions window with close icon"
"passed","Sun Jul 03 18:37:58 GMT 2022","Sun Jul 03 18:38:04 GMT 2022","5340","","LandingPageTest","","LandingPageTest","kioTapeViewProject","TC7 Get Kio-Tape from Landing Page","TC7 - Navigate to Kio-Tape Brand Project page from Landing page"
"passed","Sun Jul 03 18:38:09 GMT 2022","Sun Jul 03 18:38:13 GMT 2022","4750","","AboutPageTest","","AboutPageTest","saveCardNamesToFileTest","TC13 Names save to file","TC13 - Save the names from name cards to file, read the file assert the content"
"passed","Sun Jul 03 18:38:38 GMT 2022","Sun Jul 03 18:38:45 GMT 2022","7000","","ContactPageTest","","ContactPageTest","sendCompleteContactMessage","TC9 Complete contact message","TC9 - Contact message with full information"
"passed","Sun Jul 03 18:38:18 GMT 2022","Sun Jul 03 18:38:24 GMT 2022","5621","","ProfilePageTest","","ProfilePageTest","deleteAccount","TC16 Delete account","TC16 - Delete account"
"passed","Sun Jul 03 18:39:50 GMT 2022","Sun Jul 03 18:39:55 GMT 2022","5547","","RegisterLoginPageTest","","RegisterLoginPageTest","validRegistration","TC3 Valid registration","TC3 - Registration with valid username, password, email, description"
"failed","Sun Jul 03 18:39:56 GMT 2022","Sun Jul 03 18:40:01 GMT 2022","5507","","RegisterLoginPageTest","","RegisterLoginPageTest","registrationWithoutEmail","TC4 Registration without email","TC4 - Registration with username and password without email"
